episode,inflow_prob,Vehicles_A,reward_A,Vehicle_B,reward_B,vehicles_C,reward_C,vehicles_I,reward_I,time
950,0.66,11,-29.0,23,-406.0,14,-78.0,30,-351.0,18
955,0.41,26,-325.0,4,0.0,5,-15.0,30,-435.0,21
960,0.51,30,-352.0,0,0.0,17,-210.0,26,-253.0,21
965,0.44,17,-78.0,8,-36.0,28,-406.0,30,-435.0,40
970,0.67,21,-190.0,11,-37.0,0,0.0,30,-406.0,14
975,0.52,12,-136.0,30,-406.0,21,-232.0,11,-66.0,25
980,0.47,9,-45.0,13,-91.0,30,-406.0,1,-10.0,20
985,0.45,2,-4.0,12,-136.0,30,-352.0,22,-253.0,34
990,0.75,30,-378.0,23,-277.0,0,-10.0,21,-171.0,22
995,0.5,30,-378.0,0,-1.0,6,-21.0,30,-378.0,24
1000,0.49,4,-15.0,30,-378.0,30,-351.0,9,-66.0,32
1005,0.71,13,-105.0,30,-435.0,1,0.0,11,-66.0,16
1010,0.57,30,-351.0,0,-1.0,5,-15.0,17,-91.0,27
1015,0.56,17,-78.0,0,0.0,13,-91.0,30,-435.0,27
1020,0.78,30,-435.0,7,-28.0,0,0.0,17,-136.0,19
1025,0.52,12,-55.0,0,-1.0,14,-171.0,30,-378.0,28
1030,0.47,24,-190.0,12,-79.0,0,-1.0,30,-378.0,10
1035,0.77,30,-379.0,0,-1.0,0,0.0,30,-378.0,14
1040,0.52,12,-153.0,30,-351.0,12,-105.0,20,-210.0,30
1045,0.45,27,-378.0,3,-6.0,30,-378.0,6,-66.0,23
1050,0.65,30,-351.0,5,-45.0,4,-1.0,23,-231.0,13
1055,0.69,19,-171.0,9,-28.0,0,0.0,30,-406.0,9
1060,0.49,30,-326.0,0,0.0,17,-92.0,2,-10.0,26
1065,0.5,5,-55.0,30,-378.0,26,-351.0,7,-28.0,26
1070,0.53,26,-253.0,0,0.0,0,0.0,30,-406.0,24
1075,0.42,5,-21.0,0,0.0,17,-153.0,30,-378.0,25
1080,0.62,30,-378.0,0,-1.0,0,-3.0,26,-300.0,18
1085,0.65,30,-406.0,0,0.0,10,-55.0,30,-435.0,22
1090,0.72,15,-79.0,11,-105.0,6,-15.0,30,-406.0,14
1095,0.47,30,-436.0,0,0.0,8,-37.0,7,-15.0,16
1100,0.75,30,-325.0,0,0.0,0,-1.0,25,-210.0,11
1105,0.46,30,-378.0,18,-172.0,28,-406.0,27,-300.0,36
1110,0.47,2,-6.0,28,-300.0,30,-406.0,12,-120.0,40
1115,0.66,22,-231.0,30,-406.0,27,-253.0,23,-276.0,20
1120,0.69,27,-253.0,0,-1.0,0,-1.0,30,-435.0,11
1125,0.79,30,-406.0,12,-78.0,5,-6.0,14,-153.0,14
1130,0.61,30,-435.0,8,-36.0,17,-120.0,15,-78.0,18
1135,0.66,30,-407.0,21,-231.0,23,-276.0,21,-276.0,25
1140,0.48,11,-21.0,2,-21.0,10,-66.0,30,-406.0,30
1145,0.54,23,-231.0,0,-1.0,1,-2.0,30,-351.0,16
1150,0.57,30,-406.0,5,-15.0,14,-79.0,21,-210.0,23
1155,0.68,30,-325.0,0,-10.0,0,0.0,27,-276.0,18
1160,0.76,30,-406.0,22,-253.0,30,-406.0,21,-231.0,19
1165,0.55,11,-66.0,30,-378.0,15,-56.0,8,-66.0,20
1170,0.68,18,-92.0,10,-105.0,9,-15.0,30,-406.0,12
1175,0.43,6,-36.0,4,-1.0,5,-36.0,30,-325.0,24
1180,0.57,30,-406.0,3,-6.0,5,-10.0,12,-78.0,20
1185,0.65,25,-210.0,18,-171.0,0,0.0,30,-378.0,17
1190,0.61,30,-435.0,9,-45.0,8,-36.0,24,-276.0,19
1195,0.71,2,0.0,15,-153.0,2,0.0,30,-435.0,18
1200,0.78,4,-15.0,30,-378.0,0,0.0,18,-153.0,19
1205,0.56,11,-120.0,30,-436.0,3,-6.0,2,-3.0,28
1210,0.8,13,-91.0,30,-378.0,5,-10.0,3,-15.0,21
1215,0.56,17,-121.0,24,-300.0,30,-406.0,26,-351.0,26
1220,0.45,3,-15.0,30,-406.0,22,-190.0,2,-15.0,19
1225,0.41,2,-28.0,16,-136.0,30,-378.0,10,-55.0,22
1230,0.63,30,-378.0,0,0.0,27,-378.0,29,-351.0,22
1235,0.7,30,-379.0,12,-78.0,0,-3.0,30,-351.0,12
1240,0.76,27,-326.0,0,-1.0,13,-136.0,30,-406.0,14
1245,0.45,30,-436.0,0,-1.0,2,-3.0,30,-378.0,21
1250,0.62,25,-253.0,0,0.0,0,-10.0,30,-378.0,27
1255,0.58,21,-190.0,3,-36.0,20,-153.0,30,-435.0,18
1260,0.62,26,-253.0,10,-56.0,0,0.0,30,-406.0,13
1265,0.78,30,-378.0,2,-4.0,22,-253.0,19,-153.0,17
1270,0.62,2,-10.0,4,-6.0,7,-36.0,30,-325.0,13
1275,0.76,30,-407.0,0,0.0,5,-16.0,30,-435.0,12
1280,0.51,22,-210.0,7,-28.0,0,-1.0,30,-351.0,21
1285,0.59,30,-406.0,5,-28.0,0,-1.0,25,-253.0,23
1290,0.47,30,-436.0,0,-1.0,17,-154.0,27,-300.0,24
1295,0.68,30,-378.0,0,-1.0,23,-277.0,19,-153.0,17
1300,0.76,30,-406.0,27,-326.0,24,-301.0,18,-91.0,19
1305,0.71,30,-435.0,3,-10.0,18,-105.0,28,-325.0,13
